week_end_date,state,covid_19_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,state_abbrv,weekly_actual_days_reporting_any_data,weekly_percent_days_reporting_any_data,num_hospitals_previous_day_admission_adult_covid_confirmed,num_hospitals_previous_day_admission_pediatric_covid_confirmed,num_hospitals_previous_day_admission_influenza_confirmed,num_hospitals_total_patients_hospitalized_confirmed_influenza,num_hospitals_icu_patients_confirmed_influenza,num_hospitals_inpatient_beds,num_hospitals_total_icu_beds,num_hospitals_inpatient_beds_used,num_hospitals_icu_beds_used,num_hospitals_percent_inpatient_beds_occupied,num_hospitals_percent_staff_icu_beds_occupied,num_hospitals_percent_inpatient_beds_covid,num_hospitals_percent_inpatient_beds_influenza,num_hospitals_percent_staff_icu_beds_covid,num_hospitals_percent_icu_beds_influenza,num_hospitals_admissions_all_covid_confirmed,num_hospitals_total_patients_hospitalized_covid_confirmed,num_hospitals_staff_icu_patients_covid_confirmed,avg_admissions_adult_covid_confirmed,total_admissions_adult_covid_confirmed,avg_admissions_pediatric_covid_confirmed,total_admissions_pediatric_covid_confirmed,avg_admissions_all_covid_confirmed,total_admissions_all_covid_confirmed,avg_admissions_all_influenza_confirmed,total_admissions_all_influenza_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_total_patients_hospitalized_influenza_confirmed,avg_staff_icu_patients_covid_confirmed,avg_icu_patients_influenza_confirmed,avg_inpatient_beds,avg_total_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,avg_percent_inpatient_beds_occupied,avg_percent_staff_icu_beds_occupied,avg_percent_inpatient_beds_covid,avg_percent_inpatient_beds_influenza,avg_percent_staff_icu_beds_covid,avg_percent_icu_beds_influenza,percent_adult_covid_admissions,percent_pediatric_covid_admissions,percent_hospitals_previous_day_admission_adult_covid_confirmed,percent_hospitals_previous_day_admission_pediatric_covid_confirmed,percent_hospitals_previous_day_admission_influenza_confirmed,percent_hospitals_total_patients_hospitalized_confirmed_influenza,percent_hospitals_icu_patients_confirmed_influenza,percent_hospitals_inpatient_beds,percent_hospitals_total_icu_beds,percent_hospitals_inpatient_beds_used,percent_hospitals_icu_beds_used,percent_hospitals_percent_inpatient_beds_occupied,percent_hospitals_percent_staff_icu_beds_occupied,percent_hospitals_percent_inpatient_beds_covid,percent_hospitals_percent_inpatient_beds_influenza,percent_hospitals_percent_staff_icu_beds_covid,percent_hospitals_percent_icu_beds_influenza,percent_hospitals_admissions_all_covid_confirmed,percent_hospitals_total_patients_hospitalized_covid_confirmed,percent_hospitals_staff_icu_patients_covid_confirmed
2020-08-08T04:00:00Z,Alabama,264,1379,143,135,87,NA,313,AL,629,0.9459,60,90,0,0,0,94,94,94,89,94,89,90,0,89,0,90,90,89,92,647,2,17,95,664,NA,NA,1576,NA,496,NA,14403,2235,10224,1730,0.7096,0.8096,0.1099,NA,0.2321,NA,0.9744,0.0256,0.6316,0.9474,0,0,0,0.9895,0.9895,0.9895,0.9368,0.9895,0.9368,0.9474,0,0.9368,0,0.9474,0.9474,0.9368
2020-08-15T04:00:00Z,Alabama,230,1305,137,140,83,0,287,AL,637,0.9579,66,89,0,0,0,94,94,94,89,94,89,91,0,89,0,90,91,89,92,641,3,18,94,659,NA,NA,1431,NA,464,NA,14320,2201,10261,1722,0.7166,0.7969,0.1,NA,0.2147,NA,0.9727,0.0273,0.6947,0.9368,0,0,0,0.9895,0.9895,0.9895,0.9368,0.9895,0.9368,0.9579,0,0.9368,0,0.9474,0.9579,0.9368
2020-08-22T04:00:00Z,Alabama,209,1303,140,118,64,0,263,AL,632,0.9504,78,88,0,0,0,94,94,94,90,94,90,91,0,90,0,90,91,90,109,763,1,9,110,772,NA,NA,1254,NA,395,NA,14369,2199,10272,1673,0.7152,0.7635,0.0874,NA,0.1803,NA,0.9883,0.0117,0.8211,0.9263,0,0,0,0.9895,0.9895,0.9895,0.9474,0.9895,0.9474,0.9579,0,0.9474,0,0.9474,0.9579,0.9474
2020-08-29T04:00:00Z,Alabama,185,1216,127,130,71,0,244,AL,636,0.9564,90,92,0,0,0,94,94,94,91,94,91,91,0,91,0,92,91,91,120,838,2,13,122,851,NA,NA,1119,NA,382,NA,14510,2239,10214,1796,0.7037,0.8091,0.0772,NA,0.1719,NA,0.9847,0.0153,0.9474,0.9684,0,0,0,0.9895,0.9895,0.9895,0.9579,0.9895,0.9579,0.9579,0,0.9579,0,0.9684,0.9579,0.9579
2020-09-05T04:00:00Z,Alabama,156,1216,125,110,58,0,208,AL,640,0.9624,94,94,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,117,822,1,5,118,827,NA,NA,918,NA,341,NA,13732,2070,9586,1673,0.6982,0.8083,0.0669,NA,0.1649,NA,0.994,0.006,0.9895,0.9895,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-09-12T04:00:00Z,Alabama,138,1232,128,110,50,0,198,AL,637,0.9579,94,94,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,106,744,1,6,107,750,NA,NA,826,NA,312,NA,13636,2070,9252,1670,0.6785,0.8071,0.0606,NA,0.1509,NA,0.992,0.008,0.9895,0.9895,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-09-19T04:00:00Z,Alabama,139,1200,125,98,46,0,191,AL,631,0.9489,94,94,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,99,692,1,10,100,702,NA,NA,750,NA,268,NA,13514,2037,9440,1673,0.6988,0.8211,0.0555,NA,0.1313,NA,0.9858,0.0142,0.9895,0.9895,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-09-26T04:00:00Z,Alabama,105,1183,119,78,31,0,152,AL,635,0.9549,94,94,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,109,764,2,12,111,776,NA,NA,756,NA,262,NA,13735,2080,9632,1658,0.7011,0.797,0.0551,NA,0.1259,NA,0.9845,0.0155,0.9895,0.9895,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-10-03T04:00:00Z,Alabama,111,1103,116,92,36,0,167,AL,641,0.9639,93,93,0,0,0,93,93,93,92,93,92,93,0,92,0,93,93,92,100,703,2,14,102,717,NA,NA,749,NA,257,NA,13682,2074,9653,1634,0.7057,0.7892,0.0547,NA,0.1242,NA,0.9805,0.0195,0.9789,0.9789,0,0,0,0.9789,0.9789,0.9789,0.9684,0.9789,0.9684,0.9789,0,0.9684,0,0.9789,0.9789,0.9684
2020-10-10T04:00:00Z,Alabama,137,1204,127,102,50,NA,190,AL,637,0.9579,94,94,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,108,756,2,13,110,769,NA,NA,772,NA,271,NA,13733,2096,9821,1699,0.7151,0.8121,0.0562,NA,0.1294,NA,0.9831,0.0169,0.9895,0.9895,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-10-17T04:00:00Z,Alabama,126,1190,121,88,41,0,173,AL,639,0.9609,94,93,0,0,0,94,94,94,94,94,94,94,0,94,0,94,94,94,120,840,1,7,121,847,NA,NA,822,NA,263,NA,13480,2061,9800,1626,0.7265,0.7886,0.0611,NA,0.1274,NA,0.9917,0.0083,0.9895,0.9789,0,0,0,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0,0.9895,0,0.9895,0.9895,0.9895
2020-10-24T04:00:00Z,Alabama,119,1142,118,102,35,NA,187,AL,640,0.9624,94,93,94,94,94,93,93,93,93,93,93,93,93,93,93,94,94,93,138,968,1,10,140,978,1,3,851,5,270,1,13912,2112,10132,1711,0.7282,0.8101,0.0612,3e-4,0.1277,5e-4,0.9898,0.0102,0.9895,0.9789,0.9895,0.9895,0.9895,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,0.9789,0.9895,0.9895,0.9789
2020-10-31T04:00:00Z,Alabama,131,1169,123,104,47,0,188,AL,642,0.9654,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,154,1075,1,8,155,1083,2,13,953,9,288,2,13950,2116,10223,1719,0.7326,0.8121,0.0683,6e-4,0.1363,0.001,0.9926,0.0074,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895
